2024-05-28 14:29:29,712 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Configure stats pid to 1357633
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/settings
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'source/train_cifar10_noaccel.py', 'program_abspath': '/home/ubuntu/21thanh.ht/imbalanced_dynamics/source/train_cifar10_noaccel.py', 'program': '/home/ubuntu/21thanh.ht/imbalanced_dynamics/source/train_cifar10_noaccel.py'}
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_init.py:_log_setup():527] Logging user logs to /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/run-20240528_142929-wj8ndzpw/logs/debug.log
2024-05-28 14:29:29,713 INFO    MainThread:1357633 [wandb_init.py:_log_setup():528] Logging internal logs to /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/run-20240528_142929-wj8ndzpw/logs/debug-internal.log
2024-05-28 14:29:29,714 INFO    MainThread:1357633 [wandb_init.py:init():567] calling init triggers
2024-05-28 14:29:29,714 INFO    MainThread:1357633 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'architecture': 'ResNet18', 'dataset': 'CIFAR-10', 'epochs': 20, 'deterministic': False, 'imb_degree': '0.1'}
2024-05-28 14:29:29,714 INFO    MainThread:1357633 [wandb_init.py:init():617] starting backend
2024-05-28 14:29:29,714 INFO    MainThread:1357633 [wandb_init.py:init():621] setting up manager
2024-05-28 14:29:29,717 INFO    MainThread:1357633 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-28 14:29:29,720 INFO    MainThread:1357633 [wandb_init.py:init():629] backend started and connected
2024-05-28 14:29:29,725 INFO    MainThread:1357633 [wandb_init.py:init():721] updated telemetry
2024-05-28 14:29:29,738 INFO    MainThread:1357633 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-28 14:29:30,511 INFO    MainThread:1357633 [wandb_run.py:_on_init():2344] communicating current version
2024-05-28 14:29:32,082 INFO    MainThread:1357633 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-28 14:29:32,082 INFO    MainThread:1357633 [wandb_init.py:init():805] starting run threads in backend
2024-05-28 14:29:36,509 INFO    MainThread:1357633 [wandb_run.py:_console_start():2323] atexit reg
2024-05-28 14:29:36,509 INFO    MainThread:1357633 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-28 14:29:36,510 INFO    MainThread:1357633 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-28 14:29:36,510 INFO    MainThread:1357633 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-28 14:29:36,511 INFO    MainThread:1357633 [wandb_init.py:init():848] run started, returning control to user process
2024-05-28 14:34:04,788 INFO    MainThread:1357633 [wandb_run.py:_finish():2052] finishing run emthanh-org/cifar10-learning-dynamics/wj8ndzpw
2024-05-28 14:34:04,788 INFO    MainThread:1357633 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 0
2024-05-28 14:34:04,788 INFO    MainThread:1357633 [wandb_run.py:_restore():2275] restore
2024-05-28 14:34:04,788 INFO    MainThread:1357633 [wandb_run.py:_restore():2281] restore done
2024-05-28 14:34:12,793 INFO    MainThread:1357633 [wandb_run.py:_footer_history_summary_info():3920] rendering history
2024-05-28 14:34:12,795 INFO    MainThread:1357633 [wandb_run.py:_footer_history_summary_info():3952] rendering summary
2024-05-28 14:34:12,803 INFO    MainThread:1357633 [wandb_run.py:_footer_sync_info():3879] logging synced files
