2024-05-28 14:38:49,174 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Configure stats pid to 1379934
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/.config/wandb/settings
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Loading settings from /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/settings
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'source/train_cifar10_noaccel.py', 'program_abspath': '/home/ubuntu/21thanh.ht/imbalanced_dynamics/source/train_cifar10_noaccel.py', 'program': '/home/ubuntu/21thanh.ht/imbalanced_dynamics/source/train_cifar10_noaccel.py'}
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_init.py:_log_setup():527] Logging user logs to /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/run-20240528_143849-bba6ltm6/logs/debug.log
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_init.py:_log_setup():528] Logging internal logs to /home/ubuntu/21thanh.ht/imbalanced_dynamics/source/wandb/run-20240528_143849-bba6ltm6/logs/debug-internal.log
2024-05-28 14:38:49,175 INFO    MainThread:1379934 [wandb_init.py:init():567] calling init triggers
2024-05-28 14:38:49,176 INFO    MainThread:1379934 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'architecture': 'ResNet18', 'dataset': 'CIFAR-10', 'epochs': 20, 'deterministic': False, 'imb_degree': '0.1'}
2024-05-28 14:38:49,176 INFO    MainThread:1379934 [wandb_init.py:init():617] starting backend
2024-05-28 14:38:49,176 INFO    MainThread:1379934 [wandb_init.py:init():621] setting up manager
2024-05-28 14:38:49,179 INFO    MainThread:1379934 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-28 14:38:49,181 INFO    MainThread:1379934 [wandb_init.py:init():629] backend started and connected
2024-05-28 14:38:49,183 INFO    MainThread:1379934 [wandb_init.py:init():721] updated telemetry
2024-05-28 14:38:49,187 INFO    MainThread:1379934 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-28 14:38:49,849 INFO    MainThread:1379934 [wandb_run.py:_on_init():2344] communicating current version
2024-05-28 14:38:50,782 INFO    MainThread:1379934 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-28 14:38:50,782 INFO    MainThread:1379934 [wandb_init.py:init():805] starting run threads in backend
2024-05-28 14:38:54,621 INFO    MainThread:1379934 [wandb_run.py:_console_start():2323] atexit reg
2024-05-28 14:38:54,621 INFO    MainThread:1379934 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-28 14:38:54,621 INFO    MainThread:1379934 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-28 14:38:54,621 INFO    MainThread:1379934 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-28 14:38:54,622 INFO    MainThread:1379934 [wandb_init.py:init():848] run started, returning control to user process
2024-05-28 14:43:25,390 INFO    MainThread:1379934 [wandb_run.py:_finish():2052] finishing run emthanh-org/cifar10-learning-dynamics/bba6ltm6
2024-05-28 14:43:25,390 INFO    MainThread:1379934 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 0
2024-05-28 14:43:25,391 INFO    MainThread:1379934 [wandb_run.py:_restore():2275] restore
2024-05-28 14:43:25,391 INFO    MainThread:1379934 [wandb_run.py:_restore():2281] restore done
2024-05-28 14:43:32,656 INFO    MainThread:1379934 [wandb_run.py:_footer_history_summary_info():3920] rendering history
2024-05-28 14:43:32,657 INFO    MainThread:1379934 [wandb_run.py:_footer_history_summary_info():3952] rendering summary
2024-05-28 14:43:32,662 INFO    MainThread:1379934 [wandb_run.py:_footer_sync_info():3879] logging synced files
